x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,y
-1,1,-1,1,-1,1,-1,1,-1.22E-16
-0.8,0.64,-0.512,0.4096,-0.32768,0.262144,-0.2097152,0.16777216,-0.587785252
-0.6,0.36,-0.216,0.1296,-0.07776,0.046656,-0.0279936,0.01679616,-0.951056516
-0.4,0.16,-0.064,0.0256,-0.01024,0.004096,-0.0016384,0.00065536,-0.951056516
-0.2,0.04,-0.008,0.0016,-0.00032,0.000064,-0.0000128,0.00000256,-0.587785252
0,0,0,0,0,0,0,0,0
0.2,0.04,0.008,0.0016,0.00032,0.000064,0.0000128,0.00000256,0.587785252
0.4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,0.951056516
0.6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.951056516
0.8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.587785252
