x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,noisy_y
-1,1,-1,1,-1,1,-1,1,-5.26E-01
-0.9,0.81,-0.729,0.6561,-0.59049,0.531441,-0.4782969,0.43046721,-1.23E-01
-0.8,0.64,-0.512,0.4096,-0.32768,0.262144,-0.2097152,0.16777216,-6.80E-01
-0.7,0.49,-0.343,0.2401,-0.16807,0.117649,-0.0823543,0.05764801,-8.53E-01
-0.6,0.36,-0.216,0.1296,-0.07776,0.046656,-0.0279936,0.01679616,-1.14E+00
-0.5,0.25,-0.125,0.0625,-0.03125,0.015625,-0.0078125,0.00390625,-1.08E+00
-0.4,0.16,-0.064,0.0256,-0.01024,0.004096,-0.0016384,0.00065536,-6.71E-01
-0.3,0.09,-0.027,0.0081,-0.00243,0.000729,-0.0002187,0.00006561,-6.77E-01
-0.2,0.04,-0.008,0.0016,-0.00032,0.000064,-0.0000128,0.00000256,-7.59E-01
-0.1,0.01,-0.001,0.0001,-0.00001,0.000001,-0.0000001,0.00000001,1.18E-01
0,0,0,0,0,0,0,0,2.16E-01
0.1,0.01,0.001,0.0001,0.00001,0.000001,0.0000001,0.00000001,6.03E-02
0.2,0.04,0.008,0.0016,0.00032,0.000064,0.0000128,0.00000256,5.24E-02
0.3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,0.00006561,9.83E-02
0.4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,7.28E-01
0.5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,1.46E+00
0.6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,1.06E+00
0.7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,9.80E-01
0.8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,8.52E-01
0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,3.94E-01
