x,x^2,x^3,x^4,x^5,x^6,x^7,x^8,noisy_y
-1,1,-1,1,-1,1,-1,1,1.94E-01
-0.8,0.64,-0.512,0.4096,-0.32768,0.262144,-0.2097152,0.16777216,-1.11E-01
-0.6,0.36,-0.216,0.1296,-0.07776,0.046656,-0.0279936,0.01679616,-1.10E+00
-0.4,0.16,-0.064,0.0256,-0.01024,0.004096,-0.0016384,0.00065536,-1.22E+00
-0.2,0.04,-0.008,0.0016,-0.00032,0.000064,-0.0000128,0.00000256,-1.91E-01
0,0,0,0,0,0,0,0,9.03E-02
0.2,0.04,0.008,0.0016,0.00032,0.000064,0.0000128,0.00000256,4.57E-01
0.4,0.16,0.064,0.0256,0.01024,0.004096,0.0016384,0.00065536,9.98E-01
0.6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,1.38E+00
0.8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,1.21E+00
